City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
port alfred,-33.59,26.89,59.0,83,0,1.99,ZA,1590275891
bethel,41.37,-73.41,57.0,82,90,9.17,US,1590275480
mahebourg,-20.41,57.7,68.0,88,20,2.24,MU,1590275891
bathsheba,13.22,-59.52,82.4,69,20,14.99,BB,1590275891
kapaa,22.08,-159.32,81.0,78,40,10.29,US,1590275891
gat,31.61,34.76,69.01,78,24,12.55,IL,1590275891
evanston,42.04,-87.69,73.99,83,75,10.29,US,1590275772
oak ridge,36.01,-84.27,82.99,61,1,4.41,US,1590275776
la grande,45.32,-118.09,63.0,42,1,6.93,US,1590275891
thompson,55.74,-97.86,73.4,27,75,11.41,CA,1590275891
saint-philippe,-21.36,55.77,66.2,72,75,6.93,RE,1590275891
san quintin,30.48,-115.95,65.77,63,0,18.12,MX,1590275891
dniprovka,47.43,34.62,46.99,67,52,5.75,UA,1590275891
kara-tyube,44.63,45.44,51.33,80,94,6.82,RU,1590275891
cape town,-33.93,18.42,59.0,100,0,8.05,ZA,1590275643
sept-iles,50.2,-66.38,45.0,45,40,9.17,CA,1590275892
hilo,19.73,-155.09,82.4,58,75,5.82,US,1590275892
huarmey,-10.07,-78.15,67.66,77,71,7.83,PE,1590275892
busselton,-33.65,115.33,64.99,25,100,21.18,AU,1590275892
ribeira grande,38.52,-28.7,65.3,92,100,14.38,PT,1590275892
bredasdorp,-34.53,20.04,51.8,76,0,3.36,ZA,1590275892
nanortalik,60.14,-45.24,43.74,67,100,3.78,GL,1590275892
vestmannaeyjar,63.44,-20.27,48.43,74,1,15.05,IS,1590275892
tasiilaq,65.61,-37.64,41.0,60,100,21.92,GL,1590275892
port-gentil,-0.72,8.78,78.8,94,75,5.82,GA,1590275892
te anau,-45.42,167.72,50.65,77,78,2.19,NZ,1590275892
lebu,-37.62,-73.65,52.88,81,41,5.32,CL,1590275892
hobart,-42.88,147.33,48.99,87,75,9.17,AU,1590275635
kodiak,57.79,-152.41,48.2,81,90,10.29,US,1590275892
saint george,37.1,-113.58,78.01,11,1,16.11,US,1590275743
srinivaspur,13.33,78.22,75.2,78,40,3.36,IN,1590275892
paamiut,61.99,-49.67,41.4,72,35,18.3,GL,1590275892
qaanaaq,77.48,-69.36,28.8,92,0,2.91,GL,1590275481
pasighat,28.07,95.33,72.43,83,99,1.41,IN,1590275893
saint anthony,45.02,-93.22,72.0,68,75,5.82,US,1590275893
vavoua,7.38,-6.48,73.6,96,4,4.03,CI,1590275893
evensk,61.95,159.23,42.71,60,0,3.67,RU,1590275893
rikitea,-23.12,-134.97,70.7,67,34,20.58,PF,1590275481
marshall,34.38,-86.33,84.0,61,40,3.36,US,1590275893
punta arenas,-53.15,-70.92,46.4,93,90,9.17,CL,1590275621
ponta do sol,32.67,-17.1,75.2,44,20,23.04,PT,1590275893
isangel,-19.55,169.27,80.6,65,75,6.98,VU,1590275893
beringovskiy,63.05,179.32,31.89,98,96,12.93,RU,1590275893
vryheid,-27.77,30.79,50.63,53,0,2.66,ZA,1590275893
new norfolk,-42.78,147.06,46.99,86,91,1.01,AU,1590275708
albany,42.6,-73.97,75.99,27,0,1.01,US,1590275812
yellowknife,62.46,-114.35,44.6,48,75,14.99,CA,1590275743
mataura,-46.19,168.86,51.53,79,100,1.88,NZ,1590275893
ucluelet,48.93,-125.55,53.6,76,90,4.7,CA,1590275697
east london,-33.02,27.91,64.2,80,0,4.18,ZA,1590275893
nikolskoye,59.7,30.79,41.0,65,0,6.71,RU,1590275893
lagoa,39.05,-27.98,65.26,90,96,12.24,PT,1590275893
atuona,-9.8,-139.03,80.64,72,4,15.79,PF,1590275893
kahului,20.89,-156.47,89.6,46,40,23.04,US,1590275894
barrow,71.29,-156.79,33.8,80,90,12.75,US,1590275443
mount isa,-20.73,139.5,51.8,71,0,5.82,AU,1590275894
samarina,57.89,27.81,39.2,86,82,6.62,RU,1590275894
cidreira,-30.18,-50.21,59.74,77,33,15.48,BR,1590275894
havre-saint-pierre,50.23,-63.6,46.4,52,1,8.05,CA,1590275894
bambous virieux,-20.34,57.76,68.0,88,20,2.24,MU,1590275894
vaini,-21.2,-175.2,78.8,78,40,3.36,TO,1590275894
gumdag,39.21,54.59,84.83,16,0,5.84,TM,1590275894
victoria point,-27.58,153.3,61.0,59,0,1.99,AU,1590275894
norman wells,65.28,-126.83,64.4,39,20,10.29,CA,1590275894
fernley,39.61,-119.25,68.0,16,20,4.0,US,1590275894
sabha,27.04,14.43,75.97,26,23,15.75,LY,1590275619
clovis,36.83,-119.7,84.99,17,20,10.29,US,1590275821
cachoeira do sul,-30.04,-52.89,58.37,92,100,11.3,BR,1590275894
quatre cocos,-20.21,57.76,68.0,88,20,2.24,MU,1590275894
coahuayana,18.73,-103.68,80.6,65,40,11.41,MX,1590275895
ushuaia,-54.8,-68.3,41.0,86,90,27.51,AR,1590275761
arraial do cabo,-22.97,-42.03,76.23,83,39,15.66,BR,1590275837
mount gambier,-37.83,140.77,48.2,93,90,8.05,AU,1590275481
katangli,51.71,143.23,40.05,86,96,8.68,RU,1590275895
opuwo,-18.06,13.84,61.79,38,0,8.46,NA,1590275895
yulara,-25.24,130.99,35.6,59,0,3.36,AU,1590275895
hermanus,-34.42,19.23,59.72,79,0,7.18,ZA,1590275895
krasnyy chikoy,50.36,108.75,49.17,58,35,1.25,RU,1590275895
puerto ayora,-0.74,-90.35,80.6,65,20,16.11,EC,1590275895
tiksi,71.69,128.87,41.76,84,80,16.28,RU,1590275895
bluff,-46.6,168.33,50.41,90,100,1.86,NZ,1590275895
baculin,7.45,126.58,82.81,73,94,4.32,PH,1590275895
cockburn town,21.46,-71.14,82.4,78,75,11.41,TC,1590275895
poum,-20.23,164.02,76.89,75,99,15.32,NC,1590275895
siparia,10.13,-61.5,84.2,66,40,8.05,TT,1590275895
vitim,59.45,112.56,59.65,42,78,0.58,RU,1590275895
khilok,51.37,110.47,53.33,51,100,0.34,RU,1590275895
padang,-0.95,100.35,78.15,78,97,4.9,ID,1590275895
coquimbo,-29.95,-71.34,57.2,76,0,2.8,CL,1590275895
tuktoyaktuk,69.45,-133.04,39.2,98,5,13.87,CA,1590275895
taksimo,56.34,114.88,51.53,43,68,2.21,RU,1590275896
ancud,-41.87,-73.82,59.0,100,90,12.75,CL,1590275600
khatanga,71.97,102.5,54.57,76,48,5.01,RU,1590275896
rutland,43.62,-73.02,71.6,26,1,17.22,US,1590275896
mason city,43.15,-93.2,70.0,77,75,10.29,US,1590275896
oum hadjer,13.3,19.7,90.23,28,19,11.21,TD,1590275896
truth or consequences,33.13,-107.25,88.0,8,1,18.34,US,1590275730
roald,62.58,6.13,53.6,50,89,6.93,NO,1590275896
esperance,-33.87,121.9,53.6,46,100,19.46,AU,1590275896
walvis bay,-22.96,14.51,59.0,77,0,3.36,NA,1590275896
noyabrsk,63.2,75.45,51.31,83,60,13.0,RU,1590275896
san andres,12.58,-81.7,87.8,74,75,5.82,CO,1590275896
chokurdakh,70.63,147.92,29.82,97,84,4.47,RU,1590275896
fort nelson,58.81,-122.7,62.6,48,75,14.99,CA,1590275896
manado,1.49,124.85,77.0,94,20,1.12,ID,1590275896
mokhotlong,-29.29,29.07,38.68,72,0,1.79,LS,1590275896
mporokoso,-9.37,30.12,56.98,78,0,6.46,ZM,1590275896
aksarka,66.56,67.8,48.04,70,57,9.28,RU,1590275896
sangar,63.92,127.47,50.63,47,100,2.84,RU,1590275896
wenling,28.37,121.36,77.0,87,27,0.94,CN,1590275897
tiznit,29.58,-9.5,81.86,26,3,0.81,MA,1590275897
donskoye,45.46,41.97,46.4,70,0,6.71,RU,1590275897
kaman,27.65,77.27,92.79,17,59,5.82,IN,1590275897
pisco,-13.7,-76.22,64.99,82,75,5.82,PE,1590275897
arman,59.7,150.17,46.47,55,9,4.59,RU,1590275897
georgetown,5.41,100.34,78.8,94,20,4.7,MY,1590275897
mareeba,-17.0,145.43,62.01,78,46,7.0,AU,1590275897
faanui,-16.48,-151.75,80.83,78,2,18.45,PF,1590275897
nouakchott,18.09,-15.98,64.4,93,40,17.22,MR,1590275897
meulaboh,4.14,96.13,77.79,88,100,4.25,ID,1590275897
tuatapere,-46.13,167.68,50.31,88,100,1.21,NZ,1590275897
gizo,-8.1,156.84,83.95,72,100,5.95,SB,1590275897
boleslawiec,51.26,15.57,53.01,76,100,4.0,PL,1590275897
avarua,-21.21,-159.78,80.6,83,71,8.05,CK,1590275897
aswan,24.09,32.91,85.6,26,0,20.78,EG,1590275897
sibolga,1.74,98.78,77.0,82,100,4.41,ID,1590275897
jamestown,42.1,-79.24,70.0,82,90,4.7,US,1590275764
gorontalo,0.54,123.06,78.76,85,96,1.7,ID,1590275843
wundanyi,-3.4,38.36,58.33,100,16,6.64,KE,1590275898
butaritari,3.07,172.79,82.96,76,83,9.17,KI,1590275898
miraflores,19.22,-98.81,77.0,23,75,21.92,MX,1590275898
iberia,29.95,-91.75,86.0,66,20,9.17,US,1590275898
mar del plata,-38.0,-57.56,55.0,87,100,6.04,AR,1590275898
carnarvon,-24.87,113.63,70.7,48,100,34.72,AU,1590275898
miyazu,35.53,135.18,67.93,79,3,9.42,JP,1590275898
tselina,46.53,41.03,43.9,79,17,5.59,RU,1590275898
tali,9.45,-1.12,83.62,66,48,11.32,GH,1590275898
basco,20.45,121.97,81.99,84,100,23.91,PH,1590275898
torbay,47.67,-52.73,43.0,71,75,14.99,CA,1590275898
nome,64.5,-165.41,59.0,66,75,9.17,US,1590275898
saskylakh,71.92,114.08,47.59,93,82,9.24,RU,1590275481
north bend,43.41,-124.22,59.0,62,1,17.22,US,1590275898
lircay,-12.99,-74.72,51.85,65,80,1.81,PE,1590275898
port elizabeth,-33.92,25.57,51.8,93,0,3.36,ZA,1590275898
bandarbeyla,9.49,50.81,87.8,55,60,19.15,SO,1590275899
shache,38.42,77.24,67.01,26,14,4.09,CN,1590275899
hit,33.64,42.83,82.04,30,59,6.22,IQ,1590275899
geraldton,-28.77,114.6,71.6,29,90,31.09,AU,1590275899
whitehorse,60.72,-135.05,66.2,22,40,17.22,CA,1590275899
vila velha,-20.33,-40.29,78.8,83,0,11.41,BR,1590275704
maceio,-9.67,-35.74,75.2,94,4,3.36,BR,1590275855
puerto del rosario,28.5,-13.86,71.6,73,27,9.17,ES,1590275899
hithadhoo,-0.6,73.08,83.91,74,97,9.24,MV,1590275899
pando,-34.72,-55.95,57.2,71,40,10.29,UY,1590275899
hirara,24.8,125.28,77.0,94,75,6.93,JP,1590275899
henties bay,-22.12,14.28,65.26,59,0,4.12,NA,1590275899
berlevag,70.86,29.09,45.03,70,61,23.67,NO,1590275899
kamenka,51.32,42.77,46.0,93,94,5.95,RU,1590275899
cozumel,20.51,-86.95,82.0,88,75,10.18,MX,1590275899
dikson,73.51,80.55,41.76,83,68,14.25,RU,1590275899
yerbogachen,61.28,108.01,63.43,54,91,7.02,RU,1590275900
olinda,-8.01,-34.86,77.0,94,75,2.24,BR,1590275900
puerto leguizamo,-0.19,-74.78,75.92,95,37,2.26,CO,1590275900
tulum,20.22,-87.47,82.0,88,75,8.81,MX,1590275900
mitsamiouli,-11.38,43.28,79.9,72,10,9.73,KM,1590275900
ada,43.42,-116.13,64.99,31,20,19.46,US,1590275900
la rioja,42.25,-2.5,53.6,71,93,5.82,ES,1590275900
belmonte,-15.86,-38.88,75.2,88,75,4.7,BR,1590275900
le passage,44.2,0.6,54.0,87,2,3.36,FR,1590275900
udachnyy,66.42,112.4,62.6,39,15,4.47,RU,1590275900
